,State_0,State_1,State_2,State_3
2025-11-17,0.9802749186652291,1.6251127888781608e-33,0.0006138290186305503,0.01911125231614038
2025-11-18,0.9613438736010568,0.00031813543308443224,0.0012060375563747929,0.03713195340948408
2025-11-19,0.9431680941676643,0.0009243069693803376,0.0017790684463435465,0.0541285304166119
2025-11-20,0.9257109820355243,0.0017906756893887553,0.0023351495597283803,0.07016319271535879
2025-11-21,0.9089379789643018,0.0028915052901854837,0.002876309983589912,0.08529420576192294
2025-11-24,0.8928164429922943,0.004203014992411727,0.003404395063075994,0.09957614695221811
2025-11-25,0.8773155324896112,0.0057032424313847455,0.003921080385333413,0.11306014469367087
2025-11-26,0.8624060975642212,0.00737191586338949,0.004427884777193472,0.12579410179519618
2025-11-27,0.8480605783435408,0.009190335062772212,0.004926182383874039,0.13782290420981338
2025-11-28,0.8342529096855734,0.011141260327056562,0.005417213891425428,0.149188616095945
2025-12-01,0.8209584319028762,0.01320880904613818,0.005902096951433283,0.1599306620995528
2025-12-02,0.8081538071099662,0.01537835932786871,0.006381835862558589,0.170085997699607
2025-12-03,0.7958169408303128,0.0176364602061857,0.00685733055982421,0.17968926840367772
2025-12-04,0.7839269085229101,0.019970747989540995,0.007329384959131622,0.1887729585284178
2025-12-05,0.772463886710698,0.02236986833687619,0.007798714701294431,0.19736753025113196
2025-12-08,0.7614090884139121,0.024823403675928907,0.008265954336891606,0.20550155357326794
2025-12-09,0.750744702610874,0.027321805604358262,0.008731663990458983,0.21320182779430932
2025-12-10,0.7404538374668902,0.029856331938173396,0.009196335539939251,0.22049349505499777
2025-12-11,0.7305204670888874,0.0324189880943488,0.009660398344885825,0.2274001464718786
2025-12-12,0.7209293815792528,0.035002472515420234,0.0101242245546534,0.23394392135067418
